District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Alirajpur,Madhya Pradesh,16,728999,1221,53,1155,13,52487.928,1519.424332,70817.092,0
Darbhanga,Bihar,4,3937385,4007,37,3938,32,263804.795,1503.744177,170287.632,0
West Tripura,Tripura,29,1725739,11559,85,11273,190,115624.513,1502.18038,153667.489,3
Pratapgarh,Uttar Pradesh,30,867848,5225,181,4978,66,60749.36,1501.068802,89377.2,3
Rajgarh,Madhya Pradesh,16,1545814,2220,106,2055,59,111298.608,1496.295326,223141.088,0
Dharmapuri,Tamil Nadu,27,1506843,6337,80,6204,53,134109.027,1485.016473,112048.8,3
Neemuch,Madhya Pradesh,16,826067,2857,95,2725,37,59476.824,1458.124466,89389.368,0
Dausa,Rajasthan,25,1634409,2369,109,2237,23,111139.812,1453.054394,108913.032,3
Parbhani,Maharashtra,17,1836086,7529,215,7027,276,163411.654,1448.506278,330847.2,0
Sant Kabir Nagar,Uttar Pradesh,30,1715183,3223,78,3101,44,120062.81,1429.720396,145103.376,3
Srinagar,Jammu and Kashmir,11,1236829,24931,639,23848,444,86578.03,1421.211471,138554.964,0
Mahasamund,Chhattisgarh,6,1032754,7622,407,7101,114,77456.55,1403.069055,113536.351,0
Sikar,Rajasthan,25,2677333,8850,176,8579,95,182058.644,1399.354842,160747.716,3
Karur,Tamil Nadu,27,1064493,5096,85,4962,49,94739.877,1396.939742,98434.364,3
Golaghat,Assam,3,1066888,3803,2101,1656,46,66147.056,1380.789942,91213.36,0
Cuddalore,Tamil Nadu,27,2605914,24571,101,24189,281,231926.346,1380.100201,209138.254,3
Barpeta,Assam,3,1693622,1121,84,1024,13,105004.564,1379.838844,118298.18,0
Surguja,Chhattisgarh,6,2359886,7156,573,6505,78,176991.45,1372.856568,155765.664,0
Kaushambi,Uttar Pradesh,30,1599596,2245,21,2198,26,111971.72,1369.777949,121478.025,3
Nalanda,Bihar,4,2877653,8028,94,7879,55,192802.751,1349.061675,124213.6,0
