District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Thoothukkudi,Tamil Nadu,"1,750,176",1023,15998,87,15770,141,0.008813602,0.089,1372.856568,155765.664
Mau,Uttar Pradesh,"2,205,968",979,3031,49,2943,39,0.012867041,0.07,1986.899649,154417.76
Davanagere,Karnataka,"1,945,497",972,21951,143,21544,264,0.012026787,0.079,1848.448164,153694.263
Namakkal,Tamil Nadu,"1,726,601",986,11048,182,10758,108,0.009775525,0.089,1502.18038,153667.489
Raichur,Karnataka,"1,928,812",1000,14137,102,13877,158,0.011176346,0.079,1703.008552,152376.148
Sangrur,Punjab,"1,655,169",885,4341,40,4101,200,0.046072334,0.092,7015.689907,152275.548
Giridih,Jharkhand,"2,445,474",944,3406,6,3386,14,0.004110393,0.062,623.2152711,151619.388
Jamnagar,Gujarat,"2,160,119",939,10064,191,9838,35,0.003477742,0.07,525.86356,151208.33
Kangra,Himachal Pradesh,"1,510,075",1012,7463,729,6552,180,0.024118987,0.1,3642.147929,151007.5
Chhindwara,Madhya Pradesh,"2,090,922",964,2620,32,2548,40,0.015267176,0.072,2298.418141,150546.384
Balrampur,Uttar Pradesh,"2,148,665",928,2063,79,1951,33,0.015996122,0.07,2405.921523,150406.55
Kendujhar,Odisha,"1,801,733",988,7803,80,7686,37,0.004741766,0.083,709.1018913,149543.839
Supaul,Bihar,"2,229,076",929,5549,39,5493,17,0.003063615,0.067,457.5450549,149348.092
Dehradun,Uttarakhand,"1,696,694",902,26322,1565,23536,818,0.031076666,0.088,4640.028161,149309.072
Nawada,Bihar,"2,219,146",939,4117,159,3935,23,0.005586592,0.067,830.6300405,148682.782
Osmanabad,Maharashtra,"1,657,576",924,16739,252,15951,534,0.031901547,0.089,4706.252242,147524.264
Nandurbar,Maharashtra,"1,648,295",978,7870,374,7328,167,0.021219822,0.089,3112.910859,146698.255
Anand,Gujarat,"2,092,745",925,2196,85,2094,17,0.007741348,0.07,1134.046712,146492.15
Gwalior,Madhya Pradesh,"2,032,036",864,15708,341,15174,193,0.012286733,0.072,1797.630032,146306.592
Hoshiarpur,Punjab,"1,586,625",961,7617,185,7129,303,0.039779441,0.092,5806.585113,145969.5
Dharwad,Karnataka,"1,847,023",971,21782,127,21049,606,0.027821137,0.079,4059.516114,145914.817
Udham Singh Nagar,Uttarakhand,"1,648,902",920,10961,186,10557,108,0.009853116,0.088,1429.720396,145103.376
Pudukkottai,Tamil Nadu,"1,618,345",1015,11361,64,11143,154,0.013555145,0.089,1952.384201,144032.705
Nagapattinam,Tamil Nadu,"1,616,450",1025,8029,114,7788,127,0.015817661,0.089,2275.592773,143864.05
Ratnagiri,Maharashtra,"1,615,069",1122,11089,454,10259,374,0.033727117,0.089,4847.97428,143741.141
Ujjain,Madhya Pradesh,"1,986,864",955,4511,222,4188,101,0.022389714,0.072,3202.942804,143054.208
Mandya,Karnataka,"1,805,769",995,19300,202,18951,147,0.00761658,0.079,1086.54894,142655.751
Pilibhit,Uttar Pradesh,"2,031,007",895,4113,65,3971,77,0.018721128,0.07,2661.591941,142170.49
Morena,Madhya Pradesh,"1,965,970",840,3182,24,3132,26,0.008170962,0.072,1156.598364,141549.84
Puri,Odisha,"1,698,730",963,13987,121,13749,117,0.00836491,0.083,1179.407056,140994.59
Hassan,Karnataka,"1,776,421",1010,27842,262,27187,393,0.014115365,0.079,1980.911634,140337.259
Jhansi,Uttar Pradesh,"1,998,603",890,10012,188,9647,177,0.017678785,0.07,2473.301092,139902.21
Churu,Rajasthan,"2,039,547",940,4268,129,4099,40,0.009372071,0.068,1299.804992,138689.196
Kasaragod,Kerala,"1,307,375",1080,23748,1630,22030,84,0.00353714,0.106,490.1830512,138581.75
Pali,Rajasthan,"2,037,573",987,10529,310,10111,108,0.010257384,0.068,1421.211471,138554.964
Faridabad,Haryana,"1,809,733",873,45178,664,44117,397,0.008787463,0.076,1208.625095,137539.708
Balangir,Odisha,"1,648,997",987,8375,105,8232,38,0.004537313,0.083,621.0072886,136866.751
Chandauli,Uttar Pradesh,"1,952,756",918,4621,144,4419,58,0.012551396,0.07,1715.686969,136692.92
Banka,Bihar,"2,034,763",907,3403,101,3283,19,0.005583309,0.067,761.1676082,136329.121
Bidar,Karnataka,"1,703,300",956,7223,66,6982,171,0.023674374,0.079,3185.640338,134560.7
Madhepura,Bihar,"2,001,762",911,4777,39,4721,17,0.003558719,0.067,477.288467,134118.054
Dharmapuri,Tamil Nadu,"1,506,843",946,6337,80,6204,53,0.008363579,0.089,1121.631442,134109.027
Ganganagar,Rajasthan,"1,969,168",887,6496,71,6384,41,0.006311576,0.068,845.1416372,133903.424
Kota,Rajasthan,"1,951,014",911,18048,578,17306,164,0.009086879,0.068,1205.546714,132668.952
Hisar,Haryana,"1,743,931",872,16848,115,16420,313,0.018577873,0.076,2462.288177,132538.756
Farrukhabad,Uttar Pradesh,"1,885,204",874,4556,73,4401,82,0.017998244,0.07,2375.125311,131964.28
Chitradurga,Karnataka,"1,659,456",974,14171,176,13927,68,0.004798532,0.079,629.0732648,131097.024
Kalahandi,Odisha,"1,576,869",1003,6275,41,6205,29,0.004621514,0.083,604.8643393,130880.127
Mainpuri,Uttar Pradesh,"1,868,529",881,3719,109,3539,71,0.019091154,0.07,2497.066242,130797.03
Sonbhadra,Uttar Pradesh,"1,862,559",918,4945,220,4653,72,0.014560162,0.07,1898.341254,130379.13
Bokaro,Jharkhand,"2,062,330",922,6419,77,6283,59,0.009191463,0.062,1175.261453,127864.46
Bathinda,Punjab,"1,388,525",868,9010,202,8607,201,0.022308546,0.092,2849.789593,127744.3
Saharsa,Bihar,"1,900,661",906,6675,61,6602,12,0.001797753,0.067,228.933574,127344.287
Pathanamthitta,Kerala,"1,197,412",1132,27512,4782,22682,46,0.001671998,0.106,212.2194697,126925.672
Haveri,Karnataka,"1,597,668",950,10946,40,10716,190,0.017357939,0.079,2190.845671,126215.772
Banda,Uttar Pradesh,"1,799,410",863,3660,122,3500,38,0.010382514,0.07,1307.767966,125958.7
Bhadrak,Odisha,"1,506,337",981,7377,30,7319,28,0.003795581,0.083,474.5462,125025.971
Shivpuri,Madhya Pradesh,"1,726,050",877,3447,64,3355,28,0.008123006,0.072,1009.491444,124275.6
Bhiwani,Haryana,"1,634,445",886,6213,60,6016,137,0.022050539,0.076,2739.069884,124217.82
Etah,Uttar Pradesh,"1,774,480",873,2486,83,2376,27,0.010860821,0.07,1349.061675,124213.6
Bargarh,Odisha,"1,481,255",977,10041,92,9909,40,0.003983667,0.083,489.768613,122944.165
Surendranagar,Gujarat,"1,756,268",930,3387,223,3152,12,0.003542958,0.07,435.5668633,122938.76
Bhind,Madhya Pradesh,"1,703,005",837,1442,21,1411,10,0.006934813,0.072,850.3215273,122616.36
Balaghat,Madhya Pradesh,"1,701,698",1021,2949,115,2821,13,0.004408274,0.072,540.1116755,122522.256
Banswara,Rajasthan,"1,797,485",980,2029,231,1766,32,0.015771316,0.068,1927.711868,122228.98
Janjgir Champa,Chhattisgarh,"1,619,707",986,18269,214,17849,206,0.011275932,0.075,1369.777949,121478.025
Kolar,Karnataka,"1,536,401",979,9635,115,9345,175,0.018162948,0.079,2204.540146,121375.679
Dhubri,Assam,"1,949,258",953,1723,497,1215,11,0.006384214,0.062,771.5577732,120853.996
Hanumangarh,Rajasthan,"1,774,692",906,2920,96,2812,12,0.004109589,0.068,495.9413211,120679.056
Ramanathapuram,Tamil Nadu,"1,353,445",983,6295,23,6140,132,0.020969023,0.089,2525.857321,120456.605
Palamu,Jharkhand,"1,939,869",928,3439,45,3374,20,0.005815644,0.062,699.4584257,120271.878
Sant Kabir Nagar,Uttar Pradesh,"1,715,183",972,3223,78,3101,44,0.013651877,0.07,1639.082714,120062.81
Kendrapara,Odisha,"1,440,361",1007,8948,124,8795,29,0.003240948,0.083,387.4552135,119549.963
Valsad,Gujarat,"1,705,678",922,1348,17,1322,9,0.006676558,0.07,797.1640667,119397.46
Sonitpur,Assam,"1,924,110",956,2548,802,1727,19,0.007456829,0.062,889.5610733,119294.82
